[2025-05-09 17:28:09,290] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:28:10,306] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:28:11,309] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:28:12,326] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:28:13,374] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:28:14,353] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:28:15,360] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:28:16,372] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:28:17,388] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:28:18,440] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:28:19,418] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:28:20,426] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:28:21,446] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:28:22,449] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:28:23,512] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
